province,commodity,year,min_price,max_price,avg_price,median_price,count
BENGKULU,Consumption Sugar,2024,17130.0,18660.0,17632.316176470587,17650.0,272
BENGKULU,Curly Red Chili,2022,22920.0,94080.0,44583.776435045314,36050.0,331
BENGKULU,Curly Red Chili,2023,19390.0,84830.0,38470.32967032967,35360.0,364
BENGKULU,Curly Red Chili,2024,26580.0,87410.0,49874.044117647056,45990.0,272
BENGKULU,Garlic,2022,22910.0,37420.0,26432.779456193355,25320.0,331
BENGKULU,Garlic,2023,24600.0,39170.0,33255.43956043956,34580.0,364
BENGKULU,Garlic,2024,35920.0,47500.0,39903.30882352941,39260.0,272
BENGKULU,Medium Rice,2022,9880.0,11220.0,10390.634441087614,10280.0,331
BENGKULU,Medium Rice,2023,11120.0,13680.0,11945.192307692309,11430.0,364
BENGKULU,Medium Rice,2024,12600.0,14290.0,13662.389705882353,13595.0,272
BENGKULU,Premium Rice,2022,11080.0,12910.0,11756.012084592145,11590.0,331
BENGKULU,Premium Rice,2023,12560.0,15180.0,13548.681318681318,12940.0,364
BENGKULU,Premium Rice,2024,14550.0,16230.0,15455.514705882353,15435.0,272
BENGKULU,Pure Beef,2022,122500.0,152560.0,131101.08761329306,132070.0,331
BENGKULU,Pure Beef,2023,128310.0,150780.0,133727.28021978022,133285.0,364
BENGKULU,Pure Beef,2024,130000.0,150700.0,136306.45756457566,136310.0,271
BENGKULU,Red Cayenne Pepper,2022,34450.0,100890.0,51318.12688821752,47190.0,331
BENGKULU,Red Cayenne Pepper,2023,25990.0,87140.0,46346.81318681319,40805.0,364
BENGKULU,Red Cayenne Pepper,2024,36420.0,85440.0,58020.294117647056,56125.0,272
BENGKULU,Shallots,2022,26160.0,57860.0,35853.65558912387,34110.0,331
BENGKULU,Shallots,2023,19520.0,39800.0,31947.774725274725,34195.0,364
BENGKULU,Shallots,2024,23330.0,61590.0,37377.867647058825,35675.0,272
BENGKULU,Simple Packaged Cooking Oil,2022,14230.0,24600.0,17829.607250755285,15610.0,331
BENGKULU,Simple Packaged Cooking Oil,2023,15480.0,18490.0,16157.637362637362,16030.000000000002,364
BENGKULU,Simple Packaged Cooking Oil,2024,15700.0,18000.0,16783.125,16905.0,272
DKI JAKARTA,Broiler Chicken Meat,2022,30160.0,44760.0,35517.416918429,35625.0,662
DKI JAKARTA,Broiler Chicken Meat,2023,29380.0,43690.0,36394.609053497945,36790.0,729
DKI JAKARTA,Broiler Chicken Meat,2024,30980.0,43110.0,36417.279411764706,36960.0,544
DKI JAKARTA,Bulk Cooking Oil,2022,12140.0,21900.0,14795.48752834467,14480.0,441
DKI JAKARTA,Bulk Cooking Oil,2023,12570.0,16560.0,14618.600823045268,14950.0,729
DKI JAKARTA,Bulk Cooking Oil,2024,13710.0,17120.0,15728.033088235294,15740.0,544
DKI JAKARTA,Bulk Wheat Flour,2022,8150.0,11140.0,9915.302114803626,10190.0,662
DKI JAKARTA,Bulk Wheat Flour,2023,9570.0,11610.0,10279.176954732511,10170.0,729
DKI JAKARTA,Bulk Wheat Flour,2024,8570.0,10680.0,9707.757352941177,9980.0,544
DKI JAKARTA,Chicken Eggs,2022,19200.0,32200.000000000004,26512.522658610273,26925.0,662
DKI JAKARTA,Chicken Eggs,2023,24480.0,32160.0,28022.825788751714,27630.0,729
DKI JAKARTA,Chicken Eggs,2024,24640.0,33400.0,28111.470588235294,27925.0,544
DKI JAKARTA,Consumption Sugar,2022,12590.0,15490.0,14063.187311178248,14230.0,662
DKI JAKARTA,Consumption Sugar,2023,13250.0,17350.0,14600.946502057614,14400.0,729
DKI JAKARTA,Consumption Sugar,2024,16040.0,20000.0,17435.459558823528,17095.0,544
DKI JAKARTA,Curly Red Chili,2022,20480.0,104600.0,47234.7583081571,44285.0,662
DKI JAKARTA,Curly Red Chili,2023,19330.0,98190.0,43137.05075445816,39880.0,729
DKI JAKARTA,Curly Red Chili,2024,16379.999999999998,93090.0,49400.992647058825,47820.0,544
DKI JAKARTA,Garlic,2022,18480.0,35240.0,27262.190332326285,29090.0,662
DKI JAKARTA,Garlic,2023,20190.0,43370.0,33877.379972565155,33990.0,729
DKI JAKARTA,Garlic,2024,30000.0,49400.0,39122.35294117647,38950.0,544
DKI JAKARTA,Medium Rice,2022,9330.0,11490.0,10161.117824773413,10230.0,662
DKI JAKARTA,Medium Rice,2023,10480.0,13100.0,11672.222222222223,11530.0,729
DKI JAKARTA,Medium Rice,2024,12450.0,15040.0,13633.676470588236,13660.0,544
DKI JAKARTA,Premium Rice,2022,10730.0,12960.0,11838.957703927492,12040.0,662
DKI JAKARTA,Premium Rice,2023,12180.0,14900.0,13175.322359396434,12730.0,729
DKI JAKARTA,Premium Rice,2024,14000.0,17790.0,15462.683823529413,15620.0,544
